Temperature [K]  , Density [kg/m^3] , Pressure [Pa]    , Isochoric Heat Capacity [J/kg-K] , Sound Speed [m/s] ,  Entropy [J/kg-K]
+3.00000000E+002 , +9.96556000E+002 , +9.92418352E+004 , +4.13018112E+003                 , +1.50151914E+003  , +3.93062643E+002
+3.00000000E+002 , +1.00530800E+003 , +2.00022515E+007 , +4.06798347E+003                 , +1.53492501E+003  , +3.87405401E+002
+3.00000000E+002 , +1.18820200E+003 , +7.00004704E+008 , +3.46135580E+003                 , +2.44357992E+003  , +1.32609616E+002
+5.00000000E+002 , +4.35000000E-001 , +9.99679423E+004 , +1.50817541E+003                 , +5.48314253E+002  , +7.94488271E+003
+5.00000000E+002 , +4.53200000E+000 , +9.99938125E+005 , +1.66991025E+003                 , +5.35739001E+002  , +6.82502725E+003
+5.00000000E+002 , +8.38025000E+002 , +1.00003858E+007 , +3.22106219E+003                 , +1.27128441E+003  , +2.56690919E+003
+5.00000000E+002 , +1.08456400E+003 , +7.00000405E+008 , +3.07437693E+003                 , +2.41200877E+003  , +2.03237509E+003
+6.47000000E+002 , +3.58000000E+002 , +2.20384756E+007 , +6.18315728E+003                 , +2.52145078E+002  , +4.32092307E+003
+9.00000000E+002 , +2.41000000E-001 , +1.00062559E+005 , +1.75890657E+003                 , +7.24027147E+002  , +9.16653194E+003
+9.00000000E+002 , +5.26150000E+001 , +2.00000690E+007 , +1.93510526E+003                 , +6.98445674E+002  , +6.59070225E+003
+9.00000000E+002 , +8.70769000E+002 , +7.00000006E+008 , +2.66422350E+003                 , +2.01933608E+003  , +4.17223802E+003
